,"LATITUDE",,"LONGITUDE",,"10,2141871858","22,6078228947","16,9398861703","15,8754718179","697,2426572412","343,17573225"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"711,0229083803","246,5252601556"
"{ lat: ","36,8792",", lng:","6,9067","},",,,,,"683,8650108422","255,7799799262"
"{ lat: ","36,365",", lng:","6,6147","},",,,,,"414,2235567014","389,0556199545"
"{ lat: ","30,56667",", lng:","2,88333","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"649,0730865412","540,5403148329"
"{ lat: ","35,6911",", lng:","-0,6417","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"265,3850432991","199,5611918777"
"{ lat: ","26,50483",", lng:","8,48121","},",,,,,"473,1605024919","298,1069136526"
"{ lat: ","31,96644",", lng:","5,34205","},",,,,,"678,360403215","348,6489202815"
"{ lat: ","36,25954",", lng:","3,93568","},",,,,,"697,6134376751","298,3891031306"
"{ lat: ","36,62656",", lng:","5,33388","},",,,,,"686,9600539252","345,5699896636"
"{ lat: ","36,42411",", lng:","4,01831","},",,,,,"683,8650108422","255,7799799262"
"{ lat: ","36,365",", lng:","6,6147","},",,,,,"704,2820470232","382,8225994985"
"{ lat: ","36,7525",", lng:","3,04197","},",,,,,"697,0953231566","328,6404417877"
"{ lat: ","36,61675",", lng:","4,47938","},",,,,,"659,2761208927","323,7510320569"
"{ lat: ","35,89056",", lng:","4,61474","},",,,,,"661,4743070961","507,3527801651"
"{ lat: ","35,93333",", lng:","0,08333","},",,,,,"677,6500720399","257,3047909857"
"{ lat: ","36,2459",", lng:","6,5671","},",,,,,"712,1326055534","220,259819245"
"{ lat: ","36,9",", lng:","7,76667","},",,,,,"657,2820632972","525,7492625565"
"{ lat: ","35,8517",", lng:","-0,3214","},",,,,,"684,6497602266","349,9302575167"
"{ lat: ","36,38",", lng:","3,9014","},",,,,,"619,3036794223","598,1851007503"
